County,State,Total,Low Food Access (10 Miles),Low-Income Population 10 miles,Seniors,Household Vehicle Access
Queen Anne's County,Maryland,47798,112,30,16,1
Somerset County,Maryland,26470,1163,437,298,87
St. Mary's County,Maryland,105151,7,1,1,0
Talbot County,Maryland,37782,0,0,0,0
Washington County,Maryland,147430,0,0,0,0
Wicomico County,Maryland,98733,1147,366,238,0
Worcester County,Maryland,51454,0,0,0,0
Barnstable County,Massachusetts,215888,0,0,0,0
Berkshire County,Massachusetts,131219,2186,436,410,17
Bristol County,Massachusetts,548285,0,0,0,0
Dukes County,Massachusetts,16535,50,0,9,5
Essex County,Massachusetts,743159,0,0,0,0
Franklin County,Massachusetts,71372,211,72,47,3
Hampden County,Massachusetts,463490,2535,545,360,36
Hampshire County,Massachusetts,158080,3247,799,479,64
Middlesex County,Massachusetts,1503085,0,0,0,0
Nantucket County,Massachusetts,10172,0,0,0,0
Norfolk County,Massachusetts,670850,0,0,0,0
Plymouth County,Massachusetts,494919,0,0,0,0
Suffolk County,Massachusetts,722023,0,0,0,0
Worcester County,Massachusetts,798552,0,0,0,0
Alcona County,Michigan,10942,1709,674,607,29
Alger County,Michigan,9601,1225,469,404,22
Allegan County,Michigan,111408,0,0,0,0
Alpena County,Michigan,29598,3064,1264,605,60
Antrim County,Michigan,23580,39,14,5,1
Arenac County,Michigan,15899,1,0,0,0
Baraga County,Michigan,8860,1366,400,376,24
Barry County,Michigan,59173,19,4,3,0
Bay County,Michigan,107771,64,19,14,0
Benzie County,Michigan,17525,0,0,0,0
Berrien County,Michigan,156813,0,0,0,0
Branch County,Michigan,45248,126,42,18,6
Calhoun County,Michigan,136146,1425,544,176,16
Cass County,Michigan,52293,9,2,2,0
Charlevoix County,Michigan,25949,200,49,28,2
Cheboygan County,Michigan,26152,1437,563,340,17
Chippewa County,Michigan,38520,6261,2330,1577,146
Clare County,Michigan,30926,438,206,118,5
Clinton County,Michigan,75382,297,61,53,2
Crawford County,Michigan,14074,906,308,320,11
Delta County,Michigan,37069,3545,997,707,44
Dickinson County,Michigan,26168,2317,724,463,62
Eaton County,Michigan,107759,23,6,3,0
Emmet County,Michigan,32694,3173,1159,586,34
Genesee County,Michigan,425790,0,0,0,0
Gladwin County,Michigan,25692,1906,742,574,47
Gogebic County,Michigan,16427,2167,680,325,16
Grand Traverse County,Michigan,86986,0,0,0,0
Gratiot County,Michigan,42476,652,174,106,6
Hillsdale County,Michigan,46688,527,257,72,12
Houghton County,Michigan,36628,1928,650,384,19
Huron County,Michigan,33118,6058,2261,1316,186
Ingham County,Michigan,280895,0,0,0,0
Ionia County,Michigan,63905,0,0,0,0
Iosco County,Michigan,25887,16,7,6,0
Iron County,Michigan,11817,638,208,160,14
Isabella County,Michigan,70311,48,19,8,0
Jackson County,Michigan,160248,39,14,5,0
Kalamazoo County,Michigan,250331,114,36,17,1
Kalkaska County,Michigan,17153,790,309,253,12
Kent County,Michigan,602622,0,0,0,0
Keweenaw County,Michigan,2156,630,156,233,9
Lake County,Michigan,11539,165,69,41,5
Lapeer County,Michigan,88319,0,0,0,0
Leelanau County,Michigan,21708,1246,247,503,10
Lenawee County,Michigan,99892,10,3,1,0
Livingston County,Michigan,180967,0,0,0,0
Luce County,Michigan,6631,785,283,237,27
Mackinac County,Michigan,11113,3850,1554,1024,147
Macomb County,Michigan,840978,0,0,0,0
Manistee County,Michigan,24733,38,17,8,1
Marquette County,Michigan,67077,4092,1085,908,70
Mason County,Michigan,28705,3655,1617,701,50
Mecosta County,Michigan,42798,1091,404,224,25
Menominee County,Michigan,24029,990,368,226,20
Midland County,Michigan,83629,1341,620,256,26
Missaukee County,Michigan,14849,632,256,146,5
Monroe County,Michigan,152021,0,0,0,0
Montcalm County,Michigan,63342,0,0,0,0
Montmorency County,Michigan,9765,377,117,162,4
Muskegon County,Michigan,172188,0,0,0,0
Newaygo County,Michigan,48460,498,224,73,11
Oakland County,Michigan,1202362,0,0,0,0
Oceana County,Michigan,26570,939,546,162,27
Ogemaw County,Michigan,21699,11,5,7,0
Ontonagon County,Michigan,6780,2321,895,676,59
Osceola County,Michigan,23528,12,6,1,0
Oscoda County,Michigan,8640,138,49,45,3
Otsego County,Michigan,24164,843,315,154,18
Ottawa County,Michigan,263801,0,0,0,0
Presque Isle County,Michigan,13376,2882,731,896,41
Roscommon County,Michigan,24449,180,57,34,4
Saginaw County,Michigan,200169,5,2,1,0
Sanilac County,Michigan,43114,2674,902,448,64
Schoolcraft County,Michigan,8485,2105,622,493,42
Shiawassee County,Michigan,70648,0,0,0,0
St. Clair County,Michigan,163040,9,2,0,0
St. Joseph County,Michigan,61295,0,0,0,0
Tuscola County,Michigan,55729,5053,1923,960,113
Van Buren County,Michigan,76258,0,0,0,0
Washtenaw County,Michigan,344791,0,0,0,0
Wayne County,Michigan,1820584,0,0,0,0
Wexford County,Michigan,32735,971,392,154,18
Aitkin County,Minnesota,16202,5476,1837,1491,86
Anoka County,Minnesota,330844,0,0,0,0
Becker County,Minnesota,32504,9526,3538,1478,191
Beltrami County,Minnesota,44442,10688,5790,1237,293
Benton County,Minnesota,38451,1125,229,120,13
Big Stone County,Minnesota,5269,2023,519,475,38
Blue Earth County,Minnesota,64013,942,226,135,6
Brown County,Minnesota,25893,377,92,70,1
Carlton County,Minnesota,35386,4083,924,634,66
Carver County,Minnesota,91042,0,0,0,0
Cass County,Minnesota,28567,3956,1488,928,100
Chippewa County,Minnesota,12441,699,173,130,4
Chisago County,Minnesota,53887,635,145,72,8
Clay County,Minnesota,58999,2326,473,386,29
Clearwater County,Minnesota,8695,3404,1318,732,124
Cook County,Minnesota,5176,1628,462,393,18
Cottonwood County,Minnesota,11687,1027,241,223,5
Crow Wing County,Minnesota,62500,1352,331,256,11
Dakota County,Minnesota,398552,0,0,0,0
Dodge County,Minnesota,20087,518,134,62,8
Douglas County,Minnesota,36009,4101,1054,923,62
Faribault County,Minnesota,14553,1650,599,384,8
Fillmore County,Minnesota,20866,567,156,93,2
Freeborn County,Minnesota,31255,1357,327,207,12
Goodhue County,Minnesota,46183,217,31,25,0
Grant County,Minnesota,6018,2654,860,612,51
Hennepin County,Minnesota,1152425,0,0,0,0
Houston County,Minnesota,19027,371,71,68,3
Hubbard County,Minnesota,20428,4430,1191,873,44
Isanti County,Minnesota,37816,2060,727,278,62
Itasca County,Minnesota,45058,6147,1878,1406,72
Jackson County,Minnesota,10266,1287,351,258,23
Kanabec County,Minnesota,16239,1220,352,190,13
Kandiyohi County,Minnesota,42239,3576,872,629,23
Kittson County,Minnesota,4552,1178,369,228,19
Koochiching County,Minnesota,13311,3312,1187,682,57
Lac qui Parle County,Minnesota,7259,826,246,179,9
Lake County,Minnesota,10866,825,202,184,9
Lake of the Woods County,Minnesota,4045,1666,353,325,1
Le Sueur County,Minnesota,27703,5,1,0,0
Lincoln County,Minnesota,5896,721,172,126,8
Lyon County,Minnesota,25857,4866,1165,849,84
Mahnomen County,Minnesota,5413,1905,900,230,51
Marshall County,Minnesota,9439,5754,1474,1077,92
Martin County,Minnesota,20840,1924,623,444,31
McLeod County,Minnesota,36651,730,218,102,9
Meeker County,Minnesota,23300,2994,740,462,44
Mille Lacs County,Minnesota,26097,906,305,118,19
Morrison County,Minnesota,33198,6369,1646,832,38
Mower County,Minnesota,39163,2938,771,480,79
Murray County,Minnesota,8725,1264,328,202,9
Nicollet County,Minnesota,32727,1715,367,206,7
Nobles County,Minnesota,21378,3334,904,580,36
Norman County,Minnesota,6852,1781,628,362,40
Olmsted County,Minnesota,144248,6,0,1,0
Otter Tail County,Minnesota,57303,8189,2185,1848,123
Pennington County,Minnesota,13930,1312,336,192,7
Pine County,Minnesota,29750,2769,901,569,47
Pipestone County,Minnesota,9596,2702,771,615,39
Polk County,Minnesota,31600,4736,1250,975,78
Pope County,Minnesota,10995,1369,334,260,12
Ramsey County,Minnesota,508640,0,0,0,0
Red Lake County,Minnesota,4089,4056,1073,692,84
Redwood County,Minnesota,16059,5155,1472,1104,80
Renville County,Minnesota,15730,4997,1463,1085,120
Rice County,Minnesota,64142,0,0,0,0
Rock County,Minnesota,9687,1180,287,252,17
Roseau County,Minnesota,15629,4597,1208,817,47
Scott County,Minnesota,129928,0,0,0,0
Sherburne County,Minnesota,88499,7,1,0,0
Sibley County,Minnesota,15226,498,122,78,2
St. Louis County,Minnesota,200226,11695,3101,2057,197
Stearns County,Minnesota,150642,4284,1073,803,32
Steele County,Minnesota,36576,1418,393,209,29
Stevens County,Minnesota,9726,1267,334,284,16
Swift County,Minnesota,9783,2463,694,402,33
Todd County,Minnesota,24895,7279,2540,1435,157
Traverse County,Minnesota,3558,551,132,101,0
Wabasha County,Minnesota,21676,1684,328,210,8
Wadena County,Minnesota,13843,1018,312,191,16
Waseca County,Minnesota,19136,3375,992,612,65
Washington County,Minnesota,238136,0,0,0,0
Watonwan County,Minnesota,11211,243,73,61,1
Wilkin County,Minnesota,6576,1760,319,265,13
Winona County,Minnesota,51461,1325,280,205,12
Wright County,Minnesota,124700,0,0,0,0
Yellow Medicine County,Minnesota,10438,3375,986,619,50
Adams County,Mississippi,32297,501,186,81,11
Alcorn County,Mississippi,37057,1136,470,147,6
Amite County,Mississippi,13131,1831,895,332,46
Attala County,Mississippi,19564,2621,1309,515,36
Benton County,Mississippi,8729,3120,1481,402,38
Bolivar County,Mississippi,34145,6670,4474,812,391
Calhoun County,Mississippi,14962,468,172,86,1
Carroll County,Mississippi,10597,5949,2164,1063,150
Chickasaw County,Mississippi,17392,316,195,39,13
Choctaw County,Mississippi,8547,1104,543,207,31
Claiborne County,Mississippi,9604,1237,878,178,62
Clarke County,Mississippi,16732,2267,1069,381,49
Clay County,Mississippi,20634,3173,1842,419,110
Coahoma County,Mississippi,26151,4460,3111,520,252
Copiah County,Mississippi,29449,3948,1580,611,74
Covington County,Mississippi,19568,0,0,0,0
DeSoto County,Mississippi,161252,3,2,0,0
Forrest County,Mississippi,74934,2437,1097,341,31
Franklin County,Mississippi,8118,2629,1220,414,25
George County,Mississippi,22578,2150,1144,249,95
Greene County,Mississippi,14400,782,243,102,9
Grenada County,Mississippi,21906,1964,634,341,58
Hancock County,Mississippi,43929,2468,1066,343,20
Harrison County,Mississippi,187105,2674,809,297,55
Hinds County,Mississippi,245285,7373,3546,1031,269
Holmes County,Mississippi,19198,4858,3546,570,289
Humphreys County,Mississippi,9375,1247,753,198,50
Issaquena County,Mississippi,1406,363,217,61,17
Itawamba County,Mississippi,23401,713,360,117,14
Jackson County,Mississippi,139668,952,327,95,0
Jasper County,Mississippi,17062,2100,894,398,44
Jefferson County,Mississippi,7726,770,349,133,18
Jefferson Davis County,Mississippi,12487,2067,1195,310,56
Jones County,Mississippi,67761,2269,894,315,47
Kemper County,Mississippi,10456,3870,2507,570,93
Lafayette County,Mississippi,47351,3671,1438,615,37
Lamar County,Mississippi,55658,1630,658,173,27
Lauderdale County,Mississippi,80261,5566,2480,769,146
Lawrence County,Mississippi,12929,2637,1062,399,46
Leake County,Mississippi,23805,3022,1802,442,128
Lee County,Mississippi,82910,0,0,0,0
Leflore County,Mississippi,32317,1677,913,216,36
Lincoln County,Mississippi,34869,4322,1651,550,56
Lowndes County,Mississippi,59779,589,211,68,8
Madison County,Mississippi,95203,2094,932,284,17
Marion County,Mississippi,27088,2012,951,275,31
Marshall County,Mississippi,37144,5959,2503,799,88
Monroe County,Mississippi,36989,642,222,92,7
Montgomery County,Mississippi,10925,718,318,118,11
Neshoba County,Mississippi,29676,971,413,90,13
Newton County,Mississippi,21720,1014,550,148,18
Noxubee County,Mississippi,11545,1832,816,304,121
Oktibbeha County,Mississippi,47671,519,194,96,17
Panola County,Mississippi,34707,4937,2679,694,139
Pearl River County,Mississippi,55834,2191,833,303,25
Perry County,Mississippi,12250,2667,1210,353,49
Pike County,Mississippi,40404,1085,620,145,26
Pontotoc County,Mississippi,29957,1931,590,269,63
Prentiss County,Mississippi,25276,629,261,96,1
Quitman County,Mississippi,8223,7407,5147,996,380
Rankin County,Mississippi,141617,3550,1497,436,71
Scott County,Mississippi,28264,2408,1460,305,57
Sharkey County,Mississippi,4916,319,229,57,26
Simpson County,Mississippi,27503,2198,1116,295,4
Smith County,Mississippi,16491,2229,896,349,30
Stone County,Mississippi,17786,2990,1239,356,35
Sunflower County,Mississippi,29450,4688,3131,131,26
Tallahatchie County,Mississippi,15378,7694,4687,701,295
Tate County,Mississippi,28886,6622,3201,842,61
Tippah County,Mississippi,22232,725,260,102,2
Tishomingo County,Mississippi,19593,0,0,0,0
Tunica County,Mississippi,10778,679,241,90,18
Union County,Mississippi,27134,1893,1022,269,23
Walthall County,Mississippi,15443,3552,1859,549,67
Warren County,Mississippi,48773,1143,387,220,11
Washington County,Mississippi,51137,892,567,138,27
Wayne County,Mississippi,20747,3119,1024,474,181
Webster County,Mississippi,10253,1080,369,195,21
Wilkinson County,Mississippi,9878,1161,840,220,84
Winston County,Mississippi,19198,2019,1041,376,55
Yalobusha County,Mississippi,12678,785,238,159,9
Yazoo County,Mississippi,28065,3070,1309,517,34
Adair County,Missouri,25607,1122,433,179,40
Andrew County,Missouri,17291,1136,299,181,17
Atchison County,Missouri,5685,289,87,75,2
Audrain County,Missouri,25529,918,316,181,2
Barry County,Missouri,35597,217,101,44,0
Barton County,Missouri,12402,2204,861,354,44
Bates County,Missouri,17049,661,141,116,5
Benton County,Missouri,19056,1800,987,477,74
Bollinger County,Missouri,12363,3512,1435,583,54
Boone County,Missouri,162642,719,120,84,3
Buchanan County,Missouri,89201,102,22,20,0
Butler County,Missouri,42794,3624,1343,651,64
Caldwell County,Missouri,9424,1759,739,310,24
Callaway County,Missouri,44332,2311,722,363,39
Camden County,Missouri,44002,2995,1209,496,95
Cape Girardeau County,Missouri,75674,2697,692,326,20
Carroll County,Missouri,9295,1719,562,329,25
Carter County,Missouri,6265,3197,1650,488,169
Cass County,Missouri,99478,1722,593,243,8
Cedar County,Missouri,13982,954,490,194,36
Chariton County,Missouri,7831,707,196,175,4
Christian County,Missouri,77422,1350,478,183,15
Clark County,Missouri,7139,910,320,193,13
Clay County,Missouri,221939,0,0,0,0
Clinton County,Missouri,20743,81,21,17,0
Cole County,Missouri,75990,4051,987,419,56
Cooper County,Missouri,17601,3519,1138,641,53
Crawford County,Missouri,24696,794,298,154,6
Dade County,Missouri,7883,706,310,138,1
Dallas County,Missouri,16777,2250,1107,365,91
Daviess County,Missouri,8433,1276,457,230,35
DeKalb County,Missouri,12892,2659,826,441,31
Dent County,Missouri,15657,2198,835,436,32
Douglas County,Missouri,13684,3610,1783,683,59
Dunklin County,Missouri,31953,53,15,10,1
Franklin County,Missouri,101492,895,282,126,5
Gasconade County,Missouri,15222,854,252,168,7
Gentry County,Missouri,6738,1473,653,325,32
Greene County,Missouri,275174,0,0,0,0
Grundy County,Missouri,10261,1291,544,198,60
Harrison County,Missouri,8957,2494,1116,513,52
Henry County,Missouri,22272,3186,1020,601,34
Hickory County,Missouri,9627,423,177,109,4
Holt County,Missouri,4912,1686,593,347,59
Howard County,Missouri,10144,526,160,56,4
Howell County,Missouri,40400,4042,1928,649,97
Iron County,Missouri,10630,2507,1343,375,90
Jackson County,Missouri,674158,0,0,0,0
Jasper County,Missouri,117404,2061,879,293,56
Jefferson County,Missouri,218733,417,189,33,0
Johnson County,Missouri,52595,3789,969,429,58
Knox County,Missouri,4131,798,325,157,7
Laclede County,Missouri,35571,3255,1248,522,48
Lafayette County,Missouri,33381,1172,384,206,36
Lawrence County,Missouri,38634,1030,344,145,1
Lewis County,Missouri,10211,4090,1327,722,112
Lincoln County,Missouri,52566,2371,677,367,44
Linn County,Missouri,12761,2203,762,425,34
Livingston County,Missouri,15195,660,248,111,4
Macon County,Missouri,15566,1115,495,236,25
Madison County,Missouri,12226,1452,748,267,14
Maries County,Missouri,9176,503,175,98,16
Marion County,Missouri,28781,1358,511,180,10
McDonald County,Missouri,23083,885,416,110,26
Mercer County,Missouri,3785,3776,1429,758,81
Miller County,Missouri,24748,1663,264,217,16
Mississippi County,Missouri,14358,24,14,2,0
Moniteau County,Missouri,15607,804,231,121,8
Monroe County,Missouri,8840,1247,512,247,40
Montgomery County,Missouri,12236,1215,442,260,19
Morgan County,Missouri,20565,657,289,132,15
New Madrid County,Missouri,18956,105,38,15,3
Newton County,Missouri,58114,0,0,0,0
Nodaway County,Missouri,23370,4612,1830,818,89
Oregon County,Missouri,10881,1792,946,368,19
Osage County,Missouri,13878,1545,505,272,36
Ozark County,Missouri,9723,3592,1725,704,61
Pemiscot County,Missouri,18296,0,0,0,0
Perry County,Missouri,18971,2120,592,382,26
Pettis County,Missouri,42201,1214,337,157,22
Phelps County,Missouri,45156,2189,996,343,48
Pike County,Missouri,18516,2425,893,414,46
Platte County,Missouri,89322,74,18,12,1
Polk County,Missouri,31137,1141,324,184,19
Pulaski County,Missouri,52274,394,153,47,5
Putnam County,Missouri,4979,1328,508,281,13
Ralls County,Missouri,10167,759,159,147,12
Randolph County,Missouri,25414,508,144,76,0
Ray County,Missouri,23494,655,170,95,3
Reynolds County,Missouri,6696,3044,1222,614,68
Ripley County,Missouri,14100,1191,560,244,24
Saline County,Missouri,23370,1024,373,179,2
Schuyler County,Missouri,4431,3644,1654,726,65
Scotland County,Missouri,4843,466,179,86,4
Scott County,Missouri,39191,1338,557,171,16
Shannon County,Missouri,8441,853,415,160,15
Shelby County,Missouri,6373,2456,969,453,26
St. Charles County,Missouri,360485,21,5,4,0
St. Clair County,Missouri,9805,963,352,248,22
St. Francois County,Missouri,65359,564,225,149,1
St. Louis County,Missouri,998954,0,0,0,0
St. Louis city,Missouri,319294,0,0,0,0
Ste. Genevieve County,Missouri,18145,4351,1812,594,31
Stoddard County,Missouri,29968,235,101,34,4
Stone County,Missouri,32202,389,126,51,6
Sullivan County,Missouri,6714,1830,706,331,30
Taney County,Missouri,51675,995,433,200,10
Texas County,Missouri,26008,3267,1321,523,16
Vernon County,Missouri,21159,2718,1192,406,73
Warren County,Missouri,32513,282,54,57,4
Washington County,Missouri,25195,3060,1747,399,42
Wayne County,Missouri,13521,4691,2402,961,166
Webster County,Missouri,36202,284,117,38,4
Worth County,Missouri,2171,304,116,70,6
Wright County,Missouri,18815,2180,1148,393,5
Beaverhead County,Montana,9246,1685,595,345,2
Big Horn County,Montana,12865,5471,3045,443,31
Blaine County,Montana,6491,2208,1196,230,69
Broadwater County,Montana,5612,864,214,134,4
Carbon County,Montana,10078,1505,336,253,28
Carter County,Montana,1160,1160,398,269,20
Cascade County,Montana,81327,5908,1684,1153,118
Chouteau County,Montana,5813,2881,1306,409,50
Custer County,Montana,11699,973,198,142,5
Daniels County,Montana,1751,469,91,99,3
Dawson County,Montana,8966,1083,244,213,9
Deer Lodge County,Montana,9298,315,111,65,0
Fallon County,Montana,2890,648,145,135,1
Fergus County,Montana,11586,3356,942,675,51
Flathead County,Montana,90928,3091,1174,432,19
Gallatin County,Montana,89513,2058,418,273,10
Garfield County,Montana,1206,667,223,123,3
Glacier County,Montana,13399,2643,1208,280,23
Golden Valley County,Montana,884,884,357,189,2
Granite County,Montana,3079,3028,1041,739,40
Hill County,Montana,16096,4012,1994,464,88
Jefferson County,Montana,11406,3452,1237,470,40
Judith Basin County,Montana,2072,1269,459,279,18
Lake County,Montana,28746,1633,549,392,8
Lewis and Clark County,Montana,63395,4139,1312,890,32
Liberty County,Montana,2339,1315,449,195,42
Lincoln County,Montana,19687,1476,534,371,8
Madison County,Montana,7691,2323,759,479,32
McCone County,Montana,1734,696,222,142,0
Meagher County,Montana,1891,1891,776,428,26
Mineral County,Montana,4223,1148,384,263,12
Missoula County,Montana,109299,5761,1286,732,32
Musselshell County,Montana,4538,1447,580,274,8
Park County,Montana,15636,3666,925,659,42
Petroleum County,Montana,494,494,146,103,1
Phillips County,Montana,4253,1536,565,289,43
Pondera County,Montana,6153,1567,795,200,24
Powder River County,Montana,1743,913,362,175,3
Powell County,Montana,7027,1351,412,270,7
Prairie County,Montana,1179,1179,410,307,12
Ravalli County,Montana,40212,1099,359,276,5
Richland County,Montana,9746,2501,587,380,8
Roosevelt County,Montana,10425,2720,868,449,45
Rosebud County,Montana,9233,2225,988,288,51
Sanders County,Montana,11413,3553,1479,680,22
Sheridan County,Montana,3384,1193,400,266,14
Silver Bow County,Montana,34200,453,65,80,0
Stillwater County,Montana,9117,1395,365,267,7
Sweet Grass County,Montana,3651,826,186,126,2
Teton County,Montana,6073,3654,1111,710,39
Toole County,Montana,5324,1705,420,252,92
Treasure County,Montana,718,718,322,171,11
Valley County,Montana,7369,2964,1022,593,19
Wheatland County,Montana,2168,748,354,140,19
Wibaux County,Montana,1017,1017,450,243,14
Yellowstone County,Montana,147972,2316,693,337,4
Adams County,Nebraska,31364,1320,328,202,14
Antelope County,Nebraska,6685,860,258,170,2
Arthur County,Nebraska,460,460,158,94,0
Banner County,Nebraska,690,680,190,136,7
Blaine County,Nebraska,478,478,122,95,9
Boone County,Nebraska,5505,674,192,137,5
Box Butte County,Nebraska,11308,1679,440,258,26
Boyd County,Nebraska,2099,762,258,200,14
Brown County,Nebraska,3145,317,130,68,5
Buffalo County,Nebraska,46102,3021,831,446,9
Burt County,Nebraska,6858,46,15,10,0
Butler County,Nebraska,8395,1101,300,207,8
Cass County,Nebraska,25241,2916,474,421,14
Cedar County,Nebraska,8852,1618,406,348,18
Chase County,Nebraska,3966,1167,349,289,10
Cherry County,Nebraska,5713,2215,620,425,19
Cheyenne County,Nebraska,9998,1887,488,344,20
Clay County,Nebraska,6542,1614,527,309,5
Colfax County,Nebraska,10515,2692,666,590,33
Cuming County,Nebraska,9139,2025,475,405,32
Custer County,Nebraska,10939,4501,1422,962,64
Dakota County,Nebraska,21006,1232,339,224,5
Dawes County,Nebraska,9182,2122,673,549,25
Dawson County,Nebraska,24326,1946,527,294,10
Deuel County,Nebraska,1941,521,153,122,9
Dixon County,Nebraska,6000,2036,622,349,20
Dodge County,Nebraska,36691,5694,1447,1280,71
Douglas County,Nebraska,517110,0,0,0,0
Dundy County,Nebraska,2008,668,345,147,11
Fillmore County,Nebraska,5890,1307,412,291,10
Franklin County,Nebraska,3225,1517,435,323,5
Frontier County,Nebraska,2756,1042,231,220,5
Furnas County,Nebraska,4959,202,50,39,10
Gage County,Nebraska,22311,2641,393,468,7
Garden County,Nebraska,2057,779,194,217,10
Garfield County,Nebraska,2049,207,60,55,1
Gosper County,Nebraska,2044,1310,245,289,17
Grant County,Nebraska,614,252,117,38,2
Greeley County,Nebraska,2538,1679,523,381,19
Hall County,Nebraska,58607,3266,970,523,32
Hamilton County,Nebraska,9124,500,96,79,1
Harlan County,Nebraska,3423,236,87,41,0
Hayes County,Nebraska,967,967,430,191,7
Hitchcock County,Nebraska,2908,2763,1093,631,41
Holt County,Nebraska,10435,2523,696,535,17
Hooker County,Nebraska,736,736,241,193,1
Howard County,Nebraska,6274,1259,322,228,13
Jefferson County,Nebraska,7547,1825,517,356,7
Johnson County,Nebraska,5217,1369,305,257,19
Kearney County,Nebraska,6489,72,17,15,0
Keith County,Nebraska,8368,1756,432,364,21
Keya Paha County,Nebraska,824,823,218,211,2
Kimball County,Nebraska,3821,259,120,39,4
Knox County,Nebraska,8701,2672,1023,482,82
Lancaster County,Nebraska,285407,724,76,90,3
Lincoln County,Nebraska,36288,3110,739,504,5
Logan County,Nebraska,763,107,38,10,0
Loup County,Nebraska,632,252,75,44,1
Madison County,Nebraska,34876,174,67,25,0
McPherson County,Nebraska,539,539,177,97,2
Merrick County,Nebraska,7845,1822,651,304,21
Morrill County,Nebraska,5042,2538,909,470,40
Nance County,Nebraska,3735,173,49,23,2
Nemaha County,Nebraska,7248,169,55,40,1
Nuckolls County,Nebraska,4500,1680,610,367,18
Otoe County,Nebraska,15740,5915,1089,1175,101
Pawnee County,Nebraska,2773,502,150,110,5
Perkins County,Nebraska,2970,879,218,162,8
Phelps County,Nebraska,9188,1415,316,259,21
Pierce County,Nebraska,7266,3377,711,553,28
Platte County,Nebraska,32237,1740,369,252,24
Polk County,Nebraska,5406,258,78,48,5
Red Willow County,Nebraska,11055,1251,428,236,9
Richardson County,Nebraska,8363,2244,665,550,39
Rock County,Nebraska,1526,428,137,82,2
Saline County,Nebraska,14200,3431,927,700,39
Sarpy County,Nebraska,158840,0,0,0,0
Saunders County,Nebraska,20780,3680,985,566,17
Scotts Bluff County,Nebraska,36970,748,235,123,25
Seward County,Nebraska,16750,717,225,102,1
Sheridan County,Nebraska,5469,1750,565,412,38
Sherman County,Nebraska,3152,635,155,133,2
Sioux County,Nebraska,1311,836,269,214,23
Stanton County,Nebraska,6129,457,98,76,0
Thayer County,Nebraska,5228,980,293,271,2
Thomas County,Nebraska,647,647,224,135,1
Thurston County,Nebraska,6940,229,92,37,4
Valley County,Nebraska,4260,492,189,135,8
Washington County,Nebraska,20234,336,46,55,0
Wayne County,Nebraska,9595,629,151,76,2
Webster County,Nebraska,3812,1998,520,395,28
Wheeler County,Nebraska,818,729,256,146,4
York County,Nebraska,13665,234,42,45,1
Carson City,Nevada,55274,0,0,0,0
Churchill County,Nevada,24877,877,175,132,8
Clark County,Nevada,1951269,12221,3260,1345,189
Douglas County,Nevada,46997,2190,897,643,42
Elko County,Nevada,48818,4344,1613,596,123
Esmeralda County,Nevada,783,761,342,197,23
Eureka County,Nevada,1987,930,124,132,22
Humboldt County,Nevada,16528,2583,855,369,32
Lander County,Nevada,5775,879,241,149,18
Lincoln County,Nevada,5345,2811,779,498,56
Lyon County,Nevada,51980,1962,402,471,27
Mineral County,Nevada,4772,988,599,208,23
Nye County,Nevada,43946,3752,1616,719,79
Pershing County,Nevada,6753,1036,299,233,12
Storey County,Nevada,4010,15,4,2,0
Washoe County,Nevada,421407,3682,1120,482,50
White Pine County,Nevada,10030,3260,788,450,0
Belknap County,New Hampshire,60088,0,0,0,0
Carroll County,New Hampshire,47818,734,214,155,18
Cheshire County,New Hampshire,77117,778,167,119,6
Coos County,New Hampshire,33055,1560,475,337,25
Grafton County,New Hampshire,89118,6538,1401,998,78
Hillsborough County,New Hampshire,400721,0,0,0,0
Merrimack County,New Hampshire,146445,16,3,1,0
Rockingham County,New Hampshire,295223,0,0,0,0
Strafford County,New Hampshire,123143,0,0,0,0
Sullivan County,New Hampshire,43742,1221,134,219,7
Atlantic County,New Jersey,274549,456,97,52,6
Bergen County,New Jersey,905116,0,0,0,0
Burlington County,New Jersey,448734,589,127,57,7
Camden County,New Jersey,513657,0,0,0,0
Cape May County,New Jersey,97265,165,51,22,0
Cumberland County,New Jersey,156898,7682,1243,542,79
Essex County,New Jersey,783969,0,0,0,0
Gloucester County,New Jersey,288288,0,0,0,0
Hudson County,New Jersey,634266,0,0,0,0
Hunterdon County,New Jersey,128349,0,0,0,0
Mercer County,New Jersey,366513,0,0,0,0
Middlesex County,New Jersey,809858,0,0,0,0
Monmouth County,New Jersey,630380,0,0,0,0
Morris County,New Jersey,492276,0,0,0,0
Ocean County,New Jersey,576567,0,0,0,0
Passaic County,New Jersey,501226,0,0,0,0
Salem County,New Jersey,66083,202,23,33,0
Somerset County,New Jersey,323444,0,0,0,0
Sussex County,New Jersey,149265,0,0,0,0
Union County,New Jersey,536499,0,0,0,0
Warren County,New Jersey,108692,0,0,0,0
Bernalillo County,New Mexico,662564,3693,1531,303,76
Catron County,New Mexico,3725,3725,1643,1041,0
Chaves County,New Mexico,65645,6220,3288,719,67
Cibola County,New Mexico,27213,5666,3486,765,187
Colfax County,New Mexico,13750,3915,2013,792,45
Curry County,New Mexico,48376,1708,589,315,16
De Baca County,New Mexico,2022,350,158,69,16
Do_¡¾a Ana County,New Mexico,209233,6586,3573,564,91
Eddy County,New Mexico,53829,2664,903,410,51
Grant County,New Mexico,29514,3758,1375,1072,86
